config_name,model_type,threshold,n_train,exposure_train,claims_train,base_rate,reps,train_poisson_deviance,test_poisson_deviance,mean_seed_test_poisson_deviance
ffn_small,ffn,0.05,30489,16214.251953125,1198.0,0.0738856163986712,3,0.2410340091480786,0.245886866992647,0.2465367135140072
glm,glm,0.05,30489,16214.251953125,1198.0,0.0738856163986712,3,0.2439188402052099,0.2446394380195531,0.2456586641680893
tabm_mini_small,tabm_mini,0.05,30489,16214.251953125,1198.0,0.0738856163986712,3,0.24428642172532,0.2441725033405264,0.2447129673060671
transformer_multicls_small,transformer_multicls,0.05,30489,16214.251953125,1198.0,0.0738856163986712,3,0.2435778324158209,0.2446287239717209,0.2460651688316476
transformer_multicls_ssl_small,transformer_multicls_ssl,0.05,30489,16214.251953125,1198.0,0.0738856163986712,3,0.2401357058067741,0.2439442728525327,0.244784364274137
ffn_small,ffn,0.1,61070,32402.3828125,2372.0,0.0732044928215879,3,0.2343978510311734,0.2423073829247325,0.2427990543867608
glm,glm,0.1,61070,32402.3828125,2372.0,0.0732044928215879,3,0.2387260118028945,0.2430880221026334,0.2432293452828129
tabm_mini_small,tabm_mini,0.1,61070,32402.3828125,2372.0,0.0732044928215879,3,0.2368263463940499,0.2421240188817168,0.2425697069480127
transformer_multicls_small,transformer_multicls,0.1,61070,32402.3828125,2372.0,0.0732044928215879,3,0.2323092665281429,0.243719319763863,0.2464998800014121
transformer_multicls_ssl_small,transformer_multicls_ssl,0.1,61070,32402.3828125,2372.0,0.0732044928215879,3,0.2361138361463314,0.2433215815989379,0.2442313964688155
ffn_small,ffn,0.25,152754,80747.984375,5894.0,0.0729925340628665,3,0.235941717185057,0.2409778363082568,0.241272982507293
glm,glm,0.25,152754,80747.984375,5894.0,0.0729925340628665,3,0.2381883575466604,0.2418069116400752,0.2419068530286428
tabm_mini_small,tabm_mini,0.25,152754,80747.984375,5894.0,0.0729925340628665,3,0.2363629201293221,0.240659267079705,0.2409962527596455
transformer_multicls_small,transformer_multicls,0.25,152754,80747.984375,5894.0,0.0729925340628665,3,0.2365802064833907,0.2407550182934786,0.2412086870197958
transformer_multicls_ssl_small,transformer_multicls_ssl,0.25,152754,80747.984375,5894.0,0.0729925340628665,3,0.2372830734694689,0.2414151613664533,0.2418725185406964
ffn_small,ffn,0.5,305531,161343.9375,11921.0,0.073885639489863,3,0.2386147589204868,0.2404236462576672,0.2406738390820989
glm,glm,0.5,305531,161343.9375,11921.0,0.073885639489863,3,0.2405448413094996,0.2417085610661206,0.2417940094588392
tabm_mini_small,tabm_mini,0.5,305531,161343.9375,11921.0,0.073885639489863,3,0.2391100459348335,0.2405807493356338,0.2407914672348317
transformer_multicls_small,transformer_multicls,0.5,305531,161343.9375,11921.0,0.073885639489863,3,0.2382539954467593,0.2406493948892643,0.2414365604149263
transformer_multicls_ssl_small,transformer_multicls_ssl,0.5,305531,161343.9375,11921.0,0.073885639489863,3,0.2383375027642034,0.2407291238950444,0.241203198083051
ffn_small,ffn,0.75,458099,241740.15625,17878.0,0.0739554415672303,3,0.238870895516516,0.2402008852445618,0.2405243470031649
glm,glm,0.75,458099,241740.15625,17878.0,0.0739554415672303,3,0.2412250381181162,0.2416256968778382,0.2416734720469944
tabm_mini_small,tabm_mini,0.75,458099,241740.15625,17878.0,0.0739554415672303,3,0.2387308168765492,0.2400012203859845,0.2402762764488311
transformer_multicls_small,transformer_multicls,0.75,458099,241740.15625,17878.0,0.0739554415672303,3,0.2384925015345542,0.2402228407377546,0.240914009133698
transformer_multicls_ssl_small,transformer_multicls_ssl,0.75,458099,241740.15625,17878.0,0.0739554415672303,3,0.2390945036080621,0.2402971249246971,0.2406951397526352
ffn_small,ffn,1.0,610206,322392.25,23738.0,0.0736308022292719,3,0.2387955104786703,0.2399482941958494,0.2402226808033004
glm,glm,1.0,610206,322392.25,23738.0,0.0736308022292719,3,0.2408122343045997,0.241439684004131,0.2415449745729925
tabm_mini_small,tabm_mini,1.0,610206,322392.25,23738.0,0.0736308022292719,3,0.2384847148924722,0.2397871646793372,0.2400803390409505
transformer_multicls_small,transformer_multicls,1.0,610206,322392.25,23738.0,0.0736308022292719,3,0.2386174450197376,0.2400236889455181,0.2406064844718704
transformer_multicls_ssl_small,transformer_multicls_ssl,1.0,610206,322392.25,23738.0,0.0736308022292719,3,0.2389791674271057,0.2401279817482007,0.240355612138393
